vintage_age_months,count,mean_revision,mean_abs_revision,median_abs_revision,p90_abs_revision
140,25,0.08,0.48,0.0,1.0
141,25,0.04,0.44,0.0,1.0
142,25,-0.08,0.4,0.0,1.0
143,25,-0.12,0.36,0.0,1.0
144,25,-0.12,0.28,0.0,1.0
145,25,-0.12,0.28,0.0,1.0
146,25,0.0,0.32,0.0,1.0
147,25,0.0,0.32,0.0,1.0
148,25,0.16,0.32,0.0,1.0
149,25,0.16,0.32,0.0,1.0
150,25,0.12,0.36,0.0,1.0
151,25,0.12,0.36,0.0,1.0
152,25,0.0,0.32,0.0,1.0
153,25,-0.08,0.32,0.0,1.0
154,25,-0.2,0.2,0.0,1.0
155,25,-0.16,0.24,0.0,1.0
156,25,-0.16,0.24,0.0,1.0
157,25,-0.12,0.2,0.0,1.0
158,25,-0.08,0.16,0.0,1.0
159,25,-0.04,0.12,0.0,0.6000000000000014
160,25,0.08,0.24,0.0,1.0
161,25,0.08,0.24,0.0,1.0
162,25,0.12,0.2,0.0,0.6000000000000014
163,25,0.16,0.16,0.0,0.0
164,25,0.16,0.16,0.0,0.0
165,25,0.16,0.16,0.0,0.0
166,25,0.04,0.04,0.0,0.0
167,25,0.0,0.0,0.0,0.0
168,25,0.0,0.0,0.0,0.0
169,25,0.0,0.0,0.0,0.0
170,25,-0.04,0.04,0.0,0.0
171,25,-0.04,0.04,0.0,0.0
172,25,0.04,0.12,0.0,0.0
173,25,0.04,0.12,0.0,0.0
174,25,0.04,0.12,0.0,0.0
175,25,0.08,0.16,0.0,0.6000000000000014
176,25,0.12,0.12,0.0,0.0
177,25,0.12,0.12,0.0,0.0
178,25,0.04,0.04,0.0,0.0
179,25,0.04,0.04,0.0,0.0
180,25,0.04,0.04,0.0,0.0
181,25,-0.08,0.08,0.0,0.0
182,25,-0.08,0.08,0.0,0.0
183,25,-0.08,0.08,0.0,0.0
184,25,-0.04,0.12,0.0,0.0
185,25,-0.04,0.12,0.0,0.0
186,25,-0.04,0.12,0.0,0.0
187,25,0.04,0.04,0.0,0.0
188,25,0.04,0.04,0.0,0.0
189,25,0.04,0.04,0.0,0.0
190,25,-0.04,0.04,0.0,0.0
191,25,-0.04,0.04,0.0,0.0
192,25,0.0,0.08,0.0,0.0
193,25,-0.04,0.12,0.0,0.6000000000000014
194,25,-0.08,0.16,0.0,1.0
195,25,-0.08,0.16,0.0,1.0
196,25,0.0,0.16,0.0,1.0
197,25,0.0,0.16,0.0,1.0
198,25,-0.04,0.12,0.0,0.6000000000000014
199,25,0.0,0.08,0.0,0.0
200,25,0.04,0.04,0.0,0.0
201,25,0.04,0.04,0.0,0.0
202,25,0.0,0.0,0.0,0.0
203,25,0.04,0.04,0.0,0.0
204,25,0.04,0.04,0.0,0.0
205,25,-0.04,0.12,0.0,0.0
206,25,0.0,0.16,0.0,0.6000000000000014
207,25,0.0,0.16,0.0,0.6000000000000014
208,25,0.04,0.2,0.0,1.0
209,25,0.04,0.2,0.0,1.0
210,25,0.04,0.2,0.0,1.0
211,25,0.12,0.12,0.0,0.6000000000000014
212,25,0.12,0.12,0.0,0.6000000000000014
213,25,0.12,0.12,0.0,0.6000000000000014
214,25,0.08,0.08,0.0,0.0
215,25,0.08,0.08,0.0,0.0
216,25,0.08,0.08,0.0,0.0
217,25,0.04,0.12,0.0,0.6000000000000014
218,25,0.0,0.08,0.0,0.0
219,25,0.0,0.08,0.0,0.0
220,25,0.0,0.08,0.0,0.0
221,25,-0.04,0.04,0.0,0.0
222,25,-0.04,0.04,0.0,0.0
223,25,0.0,0.0,0.0,0.0
224,25,0.0,0.0,0.0,0.0
225,25,-0.04,0.04,0.0,0.0
226,25,-0.04,0.04,0.0,0.0
227,25,-0.04,0.04,0.0,0.0
228,25,-0.04,0.04,0.0,0.0
229,25,-0.08,0.08,0.0,0.0
230,25,-0.08,0.08,0.0,0.0
231,25,-0.04,0.04,0.0,0.0
232,25,-0.04,0.04,0.0,0.0
233,25,-0.04,0.04,0.0,0.0
234,25,-0.04,0.04,0.0,0.0
235,25,0.0,0.0,0.0,0.0
236,25,0.0,0.0,0.0,0.0
237,25,0.0,0.0,0.0,0.0
238,25,0.0,0.0,0.0,0.0
239,25,0.0,0.0,0.0,0.0
240,25,0.0,0.0,0.0,0.0
241,25,-0.08,0.08,0.0,0.0
242,25,0.0,0.16,0.0,0.0
243,25,0.0,0.16,0.0,0.0
244,25,0.0,0.16,0.0,0.0
245,25,0.0,0.16,0.0,0.0
246,25,0.0,0.16,0.0,0.0
247,25,0.12,0.12,0.0,0.0
248,25,0.04,0.04,0.0,0.0
249,25,0.04,0.04,0.0,0.0
250,25,0.04,0.04,0.0,0.0
251,25,0.04,0.04,0.0,0.0
252,25,0.08,0.08,0.0,0.0
253,25,0.0,0.08,0.0,0.0
254,25,0.0,0.08,0.0,0.0
255,25,0.0,0.08,0.0,0.0
256,25,0.0,0.08,0.0,0.0
257,25,-0.04,0.12,0.0,0.6000000000000014
258,25,-0.08,0.08,0.0,0.0
259,25,-0.04,0.04,0.0,0.0
260,25,-0.04,0.04,0.0,0.0
261,25,-0.04,0.04,0.0,0.0
262,25,-0.04,0.04,0.0,0.0
263,25,0.0,0.0,0.0,0.0
264,25,0.04,0.04,0.0,0.0
265,25,0.08,0.08,0.0,0.0
266,25,0.04,0.12,0.0,0.6000000000000014
267,25,0.04,0.12,0.0,0.6000000000000014
268,24,0.041666666666666664,0.125,0.0,0.6999999999999993
269,23,0.043478260869565216,0.13043478260869565,0.0,0.8000000000000007
270,23,0.0,0.08695652173913043,0.0,0.0
271,22,0.0,0.09090909090909091,0.0,0.0
272,21,0.047619047619047616,0.047619047619047616,0.0,0.0
273,20,0.05,0.05,0.0,0.0
274,19,0.0,0.10526315789473684,0.0,0.1999999999999993
275,18,0.0,0.1111111111111111,0.0,0.3000000000000007
276,17,0.0,0.11764705882352941,0.0,0.40000000000000036
277,16,-0.1875,0.1875,0.0,0.5
278,15,-0.06666666666666667,0.3333333333333333,0.0,1.5999999999999996
279,14,-0.07142857142857142,0.35714285714285715,0.0,1.700000000000001
280,13,0.07692307692307693,0.38461538461538464,0.0,1.8000000000000007
281,12,0.0,0.5,0.0,1.9000000000000004
282,11,0.0,0.5454545454545454,0.0,2.0
283,10,0.2,0.4,0.0,1.0999999999999996
284,9,0.0,0.2222222222222222,0.0,1.0
285,8,0.0,0.25,0.0,1.0
286,7,-0.14285714285714285,0.14285714285714285,0.0,0.40000000000000036
287,6,0.0,0.0,0.0,0.0
288,5,0.0,0.0,0.0,0.0
289,4,0.0,0.0,0.0,0.0
290,3,0.0,0.0,0.0,0.0
291,2,0.0,0.0,0.0,0.0
292,1,0.0,0.0,0.0,0.0
